run,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr
baseline,0.3293,0.158,0.0889,0.0395,0.0947,0.2693,0.2532
main-finetuned (1 epoch),0.8527,0.7421,0.6564,0.5848,0.4093,0.75,2.2074
caption/random,0.8276,0.7076,0.6129,0.5319,0.3772,0.7133,1.8283
caption/first,0.7577,0.6292,0.5394,0.4735,0.3634,0.6483,1.4158
caption/longest,0.7669,0.6598,0.5857,0.5264,0.3987,0.6747,1.4194
caption/concat,0.3891,0.3796,0.3542,0.323,0.3373,0.3919,0.0
peft/D_rslora_lora_plus_stack,0.8276,0.7076,0.6129,0.5319,0.3772,0.7133,1.8283
peft/A_vanilla_lora,0.8587360594763616,0.728993087793648,0.6195498562732733,0.5282021860383026,0.355490804180378,0.6919566830770411,1.9322919751252916
peft/B_rslora_only,0.8197907456175776,0.6919961885795672,0.5959463995727778,0.5128822827289339,0.3659914643622028,0.7007540056346651,2.089889807909266
peft/C_lora_plus_only,0.834862385319569,0.7041716120083938,0.6011883305725692,0.5141141567978295,0.3641004306300373,0.6953799587523903,1.9026908346918707
peft/E_dora_stack,0.8459097152988994,0.7182084616904472,0.6169393215807627,0.5304379050328415,0.38529003126634503,0.7149348813214407,1.9788323767862965
peft/G_corda_kpm_stack,0.8540251615445188,0.7275795453419004,0.6264627466854967,0.5429755644460537,0.38562365824878214,0.7053591462985009,1.9890762996789233
